graph_degree,intermediate_graph_degree,build_algo,compression_enabled,compression_pq_bits,compression_pq_dim,enable_exact_rerank,rerank_candidate_k,search_k,exact_rerank,rerank_backend,rerank_storage_dtype,itopk_size,max_queries,max_iterations,algo,team_size,search_width,min_iterations,thread_block_size,hashmap_mode,hashmap_min_bitlen,hashmap_max_fill_rate,num_random_samplings,rand_xor_mask,n_rows_per_batch,build_time,search_time,queries_per_second,latency_per_query,online_median_latency_ms,online_p95_latency_ms,recall_at_10,total_correct,total_possible
24,48,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.614891082001122,0.007568629502202384,132124.3165237526,0.007568629502202384,0.5846610001754016,0.8684919994266238,0.9413,9413,10000
24,48,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,19.52006086899928,0.010732450999057619,93175.36134922085,0.010732450999057619,0.5275710009300383,0.665171002765419,0.8778,8778,10000
24,48,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,19.52006086899928,0.011187606500243419,89384.62395671873,0.011187606500243419,0.520625999342883,0.6136310003057588,0.9423,9423,10000
24,48,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,19.52006086899928,0.006820318500103895,146620.71866361768,0.006820318500103895,0.564876499993261,0.793981998867821,0.8819,8819,10000
24,48,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,19.52006086899928,0.007612625000547268,131360.73298344662,0.007612625000547268,0.6074209995858837,0.8104609987640288,0.9415,9415,10000
24,48,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.58939177400316,0.010910276499998872,91656.70549230382,0.010910276499998872,0.5991210000502178,0.6526209981529973,0.9423,9423,10000
24,48,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.58939177400316,0.01153746250020049,86674.17120381736,0.01153746250020049,0.6561115005752072,0.7249809968925547,0.942,9420,10000
24,48,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.58939177400316,0.007955960501931258,125691.92616746355,0.007955960501931258,0.6941060000826837,0.9565019972797018,0.943,9430,10000
24,48,ivf_pq,True,8,384,True,48,48,True,multi_gpu,float16,48,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.58939177400316,0.00780712050072907,128088.19844738078,0.00780712050072907,0.6481265008915216,1.2258030001248699,0.9435,9435,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.479474128998845,0.008996522501547588,111154.05978565376,0.008996522501547588,0.45440550093189813,0.48019099995144643,0.8999,8999,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.479474128998845,0.010433520999868051,95844.92138489458,0.010433520999868051,0.4743409990624059,0.524590999702923,0.9411,9411,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.479474128998845,0.007082803998855525,141187.02143410788,0.007082803998855525,0.4835759991692612,0.649501002044417,0.9015,9015,10000
32,64,ivf_pq,True,8,384,True,16,16,True,multi_gpu,float16,16,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.479474128998845,0.008386091498323367,119245.06192186553,0.008386091498323367,0.6179065003379947,0.9095620007428806,0.9421,9421,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.049332260001393,0.01059241149960144,94407.20840930575,0.01059241149960144,0.4558909986371873,0.4772909996972885,0.9152,9152,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,64,0,auto,0,2,0,0,auto,0,0.5,1,1213332,64,20.049332260001393,0.011489193000670639,87038.31504454915,0.011489193000670639,0.4795360000571236,0.49363099969923496,0.9616,9616,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,128,0,auto,0,1,0,0,auto,0,0.5,1,1213332,128,20.049332260001393,0.007160434000979876,139656.33924747494,0.007160434000979876,0.5451010001706891,0.5744409972976428,0.921,9210,10000
32,64,ivf_pq,True,8,384,True,24,24,True,multi_gpu,float16,24,128,0,auto,0,2,0,0,auto,0,0.5,1,1213332,128,20.049332260001393,0.008538011998098227,117123.28352580692,0.008538011998098227,0.6066570003895322,0.8734219991310965,0.9577,9577,10000
32,64,ivf_pq,True,8,384,True,32,32,True,multi_gpu,float16,32,64,0,auto,0,1,0,0,auto,0,0.5,1,1213332,64,20.18442333799976,0.011474442999315215,87150.19980139159,0.011474442999315215,0.4773954988195328,0.510330999532016,0.9096,9096,10000
